"ID","EffTimestampUTC","ASIN","Brand","ListPrice","ListPriceCd","LowestNewPrice","LowestNewPriceCd","LowestUsedPrice","LowestUsedPriceCd","LowestRefurbPrice","LowestRefurbPriceCd","Manufacturer","Model","MPN","NumberOfItems","PackageQuantity","PartNumber","ProductTypeName","Title","UPC","Warranty"
148,1532883828,"B00NAUHX1G","Vox",4499,"USD",3982,"USD",3566,"USD",NA,NA,"Korg USA Inc.","AP2AC","AP2-AC",1,1,"AP2-AC","SOUND_AND_RECORDING_EQUIPMENT","VOX AP2AC amPlug AC30 G2 Guitar Headphone","755756644472","1 year."
149,1533966433,"B06Y5C27Y3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
150,1533966447,"B078G1VHYN","NVIDIA",359742,"USD",280000,"USD",200000,"USD",NA,NA,"NVIDIA",NA,"900-1G500-2500-000",NA,1,"900-1G500-2500-000","VIDEO_CARD","NVIDIA TITAN V VOLTA 12GB HBM2 VIDEO CARD","812674021416",NA
151,1533966474,"B01BCDK1KC","Lambda",NA,NA,1425600,"USD",NA,NA,NA,NA,"Lambda Labs, Inc.","DBM-V3","DB-3",NA,NA,"DB-3","PERSONAL_COMPUTER","Lambda Deep Learning DevBox - with NVIDIA DIGITS - 4x NVIDIA GTX TITAN X 12GB GPUs - Preinstalled with Ubuntu 14.04 LTS, CUDA, Caffe, Torch, and CuDNN","694263972749",NA
152,1533966488,"B076751BN8","Intel",7900,"USD",7450,"USD",NA,NA,NA,NA,"Intel","NCSM2450.DK1","NCSM2450.DK1",1,1,"NCSM2450.DK1","COMPUTER_COMPONENT","Intel NCSM2450.DK1 Movidius Neural Compute Stick","735858359849","1 year part exchange"
153,1533966500,"B07C9H8MHD","Western Digital",11999,"USD",9999,"USD",8499,"USD",NA,NA,"WD","WDS250G2X0C","WDS250G2X0C",NA,1,"WDS250G2X0C","COMPUTER_DRIVE_OR_STORAGE","WD Black 250GB High-Performance NVMe PCIe Gen3 8 Gb/s M.2 2280 SSD -Â WDS250G2X0C","718037859057",NA
154,1533966507,"B07BRCLMTS","Western Digital",44999,"USD",36999,"USD",33299,"USD",NA,NA,"WD","WDS100T2X0C","WDS100T2X0C",NA,1,"WDS100T2X0C","COMPUTER_DRIVE_OR_STORAGE","WD Black 1TB High-Performance NVMe PCIe Gen3 8 Gb/s M.2 2280 SSD -Â WDS100T2X0C","718037859064",NA
155,1533966519,"B07BR9FV1C","Western Digital",22999,"USD",17382,"USD",14735,"USD",NA,NA,"WD","WDS500G2X0C","WDS500G2X0C",NA,1,"WDS500G2X0C","COMPUTER_DRIVE_OR_STORAGE","WD Black 500GB High-Performance NVMe PCIe Gen3 8 Gb/s M.2 2280 SSD -Â WDS500G2X0C","718037859040",NA
156,1533966541,"B07BYHGNB5","Samsung",49999,"USD",44989,"USD",69977,"USD",69977,"USD","Samsung Electronics DAV","MZ-V7P1T0BW","MZ-V7P1T0BW",1,1,"MZ-V7P1T0BW","COMPUTER_DRIVE_OR_STORAGE","Samsung 970 PRO Series - 1TB PCIe NVMe - M.2 Internal SSD Black/Red (MZ-V7P1T0BW)","887276261928","5-Year Limited Warranty"
157,1533966547,"B01M20VBU7","Samsung",24999,"USD",16187,"USD",15119,"USD",16900,"USD","Samsung IT","MZ-V6E500BW","MZ-V6E500BW",1,1,"MZ-V6E500BW","COMPUTER_DRIVE_OR_STORAGE","Samsung 960 EVO Series - 500GB NVMe - M.2 Internal SSD (MZ-V6E500BW)","887276185293","3 Years/200TBW"
